商品コード,PowerDo管理商品名,店舗1商品管理番号,店舗1コントロールカラム/更新フラグ,店舗1商品名,モバイル用商品名,店舗1販売価格,定価,オープン価格フラグ,消費税,META Keyword,META Description,SKU(項目選択肢別在庫用)横軸項目名,SKU(項目選択肢別在庫用)縦軸項目名,詳細画像1,詳細画像説明1,詳細画像2,詳細画像説明2,詳細画像3,詳細画像説明3,詳細画像4,詳細画像説明4,詳細画像5,詳細画像説明5,詳細画像6,詳細画像説明6,詳細画像7,詳細画像説明7,詳細画像8,詳細画像説明8,詳細画像9,詳細画像説明9,詳細画像10,詳細画像説明10,店舗1画像URL1,店舗1画像URL2,店舗1画像URL3,店舗1画像URL4,店舗1画像URL5,店舗1画像URL6,店舗1画像URL7,店舗1画像URL8,店舗1画像URL9,店舗1画像URL10,掲載フラグ,注文ボタン,資料請求ボタン,商品問い合わせボタン,のし対応,送料,個別送料,重量,商品発売日,注文受付数,在庫タイプ,在庫数表示,店舗1在庫数,注意在庫数,予備1,予備2,予備3,予備4,予備5,予備6,予備7,予備8,予備9,予備10,予備11,予備12,予備13,予備14,予備15,予備16,予備17,予備18,予備19,予備20,項目選択肢,店舗1項目選択肢詳細値,店舗2項目選択肢詳細値,商品JANコード,課税対象,購入数入力エリア表示フラグ,最小購入制限数,販売単位数,販売単位名,個別手数料,手数料但書き,配送に関する備考,オススメコメント,非公開メモ,個別売切メッセージ,検索キーワード,生産地,ヘッダ(TITLE),代引料,店舗1PC用商品説明文,店舗1モバイル用商品説明文,店舗1PC用販売説明文,店舗1スマートフォン用商品説明文,SKUコード,並び順,JANコード,ISBNコード,送料係数,原価,店舗1項目選択肢用コントロールカラム,SKU(項目選択肢別在庫用)横軸選択肢子番号,SKU(項目選択肢別在庫用)横軸選択肢,SKU(項目選択肢別在庫用)縦軸選択肢子番号,SKU(項目選択肢別在庫用)縦軸選択肢,店舗1項目選択肢別在庫数,店舗2項目選択肢別在庫数,ストックギア連携,基本価格からの差額,商品個別掲載フラグ,商品個別名,店舗2SKU販売価格,SKUモバイル用商品名,個別注意在庫数,個別重量,楽天商品番号,楽天全商品ディレクトリID,楽天タグID,楽天PC用キャッチコピー,楽天モバイル用キャッチコピー,楽天送料区分1,楽天送料区分2,楽天商品情報レイアウト,楽天モバイル表示,楽天動画,楽天販売期間指定開始日,楽天販売期間指定終了日,楽天項目選択肢別在庫用残り表示閾値,楽天RAC番号,楽天闇市パスワード,楽天カタログ ID,楽天在庫戻しフラグ,楽天在庫切れ時の注文受付,楽天在庫あり時納期管理番号,楽天在庫切れ時納期管理番号,楽天ポイント変倍率,楽天ポイント変倍率適用期間,楽天ヘッダー・フッター・レフトナビ,楽天表示項目の並び順,楽天共通説明文（小）,楽天目玉商品,楽天共通説明文（大）,楽天レビュー本文表示,楽天あす楽配送管理番号,楽天海外配送管理番号,楽天サイズ表リンク,楽天再入荷お知らせボタン,楽天サーチ非表示,楽天医薬品説明文,楽天医薬品注意事項,楽天項目選択肢別在庫用取り寄せ可能表示,楽天商品個別 在庫戻しフラグ,楽天商品個別 在庫切れ時の注文受付,楽天商品個別 在庫あり時納期管理番号,楽天商品個別 在庫切れ時納期管理番号,Amazon商品カテゴリー,Amazon出品ID,Amazon商品名,AmazonASINコード,AmazonUPCコード,AmazonGTINコード,AmazonGCID,Amazonブランド,Amazonメーカー名,Amazonコンディション,Amazonコンディション説明,Amazon国外配送,Amazon通貨コード,Amazonパッケージ数,Amazonメーカー品番,Amazonブラウズノード1,Amazon商品タイプ,Amazon衣類大分類,Amazon商品を表現する言葉,Amazon注文から出荷までの日数,Amazon商品の入荷予定日,Amazon出品日,Amazonフルフィルメント・チャンネル,Amazon更新方法,Amazonセール価格,Amazonセール開始日,Amazonセール終了日,Amazonギフトメッセージ,Amazonギフト包装,カテゴリーパス,店舗1カテゴリー設定,優先度,1ページ複数形式,楽天カテゴリセット管理番号,ポンパレモール表示順位,取扱店舗1,取扱店舗2
cpbt_032,CYCLEPROCPBT-032BROWN,cpbt_032,u, / （CYCLEPROCPBT-032BROWN）, / （CYCLEPROCPBT-032BROWN）,1811,1811,0,1,,,,,,CYCLEPROCPBT-032BROWN,,,,,,,,,,,,,,,,,,,http://image.rakuten.co.jp/brotures/cabinet/items/cyclepro/cpbt_032.jpg,,,,,,,,,,1,1,0,1,0,0,,,,-1,0,,,,バーテープ＆グリップ,CYCLEPRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/cyclepro/cpbt_032.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,"<div class=""row-fluid""><iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/cyclepro/cpbt_032.html"" frameborder=""0"" id=""skin-product"" scrolling=""no""></iframe></div>",,cpbt_032,0,,,,,,,,,,,,,,,,,,,,,563161,,【バーテープ＆グリップ　CYCLEPRO】,【バーテープ＆グリップ　CYCLEPRO】,4,,1,1,,,,0,,,,,,,,,,アイテム2カラム,Bootstrap,Bootstrap,自動選択,アイテムデフォルト,2,,,,0,0,,,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,パーツ\バーテープ＆グリップ:ブランド\CYCLEPRO,u:u,,::,::,::,1,
cpbt_035_black,CYCLEPROCPBT-035BLACK,cpbt_035_black,u, / （CYCLEPROCPBT-035BLACK）, / （CYCLEPROCPBT-035BLACK）,966,966,0,1,,,,,,CYCLEPROCPBT-035BLACK,,LEADERBIKECORSACrankBlack,,,,,,,,,,,,,,,,,http://image.rakuten.co.jp/brotures/cabinet/items/cyclepro/cpbt_035_black.jpg,http://image.rakuten.co.jp/brotures/cabinet/items/leaderbike/component/corsa_black_b.jpg,,,,,,,,,1,1,0,1,0,0,,,,-1,0,,,,バーテープ＆グリップ,CYCLEPRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/cyclepro/cpbt_035_black.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,"<div class=""row-fluid""><iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/cyclepro/cpbt_035_black.html"" frameborder=""0"" id=""skin-product"" scrolling=""no""></iframe></div>",,cpbt_035_black,0,,,,,,,,,,,,,,,,,,,,,563161,,【バーテープ＆グリップ　CYCLEPRO】,【バーテープ＆グリップ　CYCLEPRO】,4,,1,1,,,,0,,,,,,,,,,アイテム2カラム,Bootstrap,Bootstrap,自動選択,アイテムデフォルト,2,,,,0,0,,,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,パーツ\バーテープ＆グリップ:ブランド\CYCLEPRO,u:u,,::,::,::,1,
cpbt_035_wh,CYCLEPROCPBT-035WHITE,cpbt_035_wh,u, / （CYCLEPROCPBT-035WHITE）, / （CYCLEPROCPBT-035WHITE）,966,966,0,1,,,,,,CYCLEPROCPBT-035WHITE,,LEADERBIKECORSACrankPolish,,,,,,,,,,,,,,,,,http://image.rakuten.co.jp/brotures/cabinet/items/cyclepro/cpbt_035_wh.jpg,http://image.rakuten.co.jp/brotures/cabinet/items/leaderbike/component/corsa_polish_b.jpg,,,,,,,,,1,1,0,1,0,0,,,,-1,0,,,,バーテープ＆グリップ,CYCLEPRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/cyclepro/cpbt_035_wh.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,"<div class=""row-fluid""><iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/cyclepro/cpbt_035_wh.html"" frameborder=""0"" id=""skin-product"" scrolling=""no""></iframe></div>",,cpbt_035_wh,0,,,,,,,,,,,,,,,,,,,,,563161,,【バーテープ＆グリップ　CYCLEPRO】,【バーテープ＆グリップ　CYCLEPRO】,4,,1,1,,,,0,,,,,,,,,,アイテム2カラム,Bootstrap,Bootstrap,自動選択,アイテムデフォルト,2,,,,0,0,,,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,パーツ\バーテープ＆グリップ:ブランド\CYCLEPRO,u:u,,::,::,::,1,
cpbt_042_bk_blue,CYCLEPROCPBT-042BLACKBLUE,cpbt_042_bk_blue,u, / （CYCLEPROCPBT-042BLACKBLUE）, / （CYCLEPROCPBT-042BLACKBLUE）,1638,1638,0,1,,,,,,CYCLEPROCPBT-042BLACKBLUE,,,,,,,,,,,,,,,,,,,http://image.rakuten.co.jp/brotures/cabinet/items/cyclepro/cpbt_042_bk_blue.jpg,,,,,,,,,,1,1,0,1,0,0,,,,-1,0,,,,バーテープ＆グリップ,CYCLEPRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/cyclepro/cpbt_042_bk_blue.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,"<div class=""row-fluid""><iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/cyclepro/cpbt_042_bk_blue.html"" frameborder=""0"" id=""skin-product"" scrolling=""no""></iframe></div>",,cpbt_042_bk_blue,0,,,,,,,,,,,,,,,,,,,,,563161,,【バーテープ＆グリップ　CYCLEPRO】,【バーテープ＆グリップ　CYCLEPRO】,4,,1,1,,,,0,,,,,,,,,,アイテム2カラム,Bootstrap,Bootstrap,自動選択,アイテムデフォルト,2,,,,0,0,,,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,パーツ\バーテープ＆グリップ:ブランド\CYCLEPRO,u:u,,::,::,::,1,
cpbt_042_bk_red,CYCLEPROCPBT-042BLACKRED,cpbt_042_bk_red,u, / （CYCLEPROCPBT-042BLACKRED）, / （CYCLEPROCPBT-042BLACKRED）,1638,1638,0,1,,,,,,CYCLEPROCPBT-042BLACKRED,,,,,,,,,,,,,,,,,,,http://image.rakuten.co.jp/brotures/cabinet/items/cyclepro/cpbt_042_bk_red.jpg,,,,,,,,,,1,1,0,1,0,0,,,,-1,0,,,,バーテープ＆グリップ,CYCLEPRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/cyclepro/cpbt_042_bk_red.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,"<div class=""row-fluid""><iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/cyclepro/cpbt_042_bk_red.html"" frameborder=""0"" id=""skin-product"" scrolling=""no""></iframe></div>",,cpbt_042_bk_red,0,,,,,,,,,,,,,,,,,,,,,563161,,【バーテープ＆グリップ　CYCLEPRO】,【バーテープ＆グリップ　CYCLEPRO】,4,,1,1,,,,0,,,,,,,,,,アイテム2カラム,Bootstrap,Bootstrap,自動選択,アイテムデフォルト,2,,,,0,0,,,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,パーツ\バーテープ＆グリップ:ブランド\CYCLEPRO,u:u,,::,::,::,1,
cpbt_042_wh_blue,CYCLEPROCPBT-042WHITEBLUE,cpbt_042_wh_blue,u, / （CYCLEPROCPBT-042WHITEBLUE）, / （CYCLEPROCPBT-042WHITEBLUE）,1638,1638,0,1,,,,,,CYCLEPROCPBT-042WHITEBLUE,,,,,,,,,,,,,,,,,,,http://image.rakuten.co.jp/brotures/cabinet/items/cyclepro/cpbt_042_wh_blue.jpg,,,,,,,,,,1,1,0,1,0,0,,,,-1,0,,,,バーテープ＆グリップ,CYCLEPRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/cyclepro/cpbt_042_wh_blue.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,"<div class=""row-fluid""><iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/cyclepro/cpbt_042_wh_blue.html"" frameborder=""0"" id=""skin-product"" scrolling=""no""></iframe></div>",,cpbt_042_wh_blue,0,,,,,,,,,,,,,,,,,,,,,563161,,【バーテープ＆グリップ　CYCLEPRO】,【バーテープ＆グリップ　CYCLEPRO】,4,,1,1,,,,0,,,,,,,,,,アイテム2カラム,Bootstrap,Bootstrap,自動選択,アイテムデフォルト,2,,,,0,0,,,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,パーツ\バーテープ＆グリップ:ブランド\CYCLEPRO,u:u,,::,::,::,1,
cpbt_042_wh_red,CYCLEPROCPBT-042WHITERED,cpbt_042_wh_red,u, / （CYCLEPROCPBT-042WHITERED）, / （CYCLEPROCPBT-042WHITERED）,1638,1638,0,1,,,,,,CYCLEPROCPBT-042WHITERED,,,,,,,,,,,,,,,,,,,http://image.rakuten.co.jp/brotures/cabinet/items/cyclepro/cpbt_042_wh_red.jpg,,,,,,,,,,1,1,0,1,0,0,,,,-1,0,,,,バーテープ＆グリップ,CYCLEPRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/cyclepro/cpbt_042_wh_red.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,"<div class=""row-fluid""><iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/cyclepro/cpbt_042_wh_red.html"" frameborder=""0"" id=""skin-product"" scrolling=""no""></iframe></div>",,cpbt_042_wh_red,0,,,,,,,,,,,,,,,,,,,,,563161,,【バーテープ＆グリップ　CYCLEPRO】,【バーテープ＆グリップ　CYCLEPRO】,4,,1,1,,,,0,,,,,,,,,,アイテム2カラム,Bootstrap,Bootstrap,自動選択,アイテムデフォルト,2,,,,0,0,,,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,パーツ\バーテープ＆グリップ:ブランド\CYCLEPRO,u:u,,::,::,::,1,
cpbt_045_bk,CYCLEPROCPBT-045BLACK,cpbt_045_bk,u, / （CYCLEPROCPBT-045BLACK）, / （CYCLEPROCPBT-045BLACK）,2173,2173,0,1,,,,,,CYCLEPROCPBT-045BLACK,,,,,,,,,,,,,,,,,,,http://image.rakuten.co.jp/brotures/cabinet/items/cyclepro/cpbt_045_bk.jpg,,,,,,,,,,1,1,0,1,0,0,,,,-1,0,,,,バーテープ＆グリップ,CYCLEPRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/cyclepro/cpbt_045_bk.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,"<div class=""row-fluid""><iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/cyclepro/cpbt_045_bk.html"" frameborder=""0"" id=""skin-product"" scrolling=""no""></iframe></div>",,cpbt_045_bk,0,,,,,,,,,,,,,,,,,,,,,563161,,【バーテープ＆グリップ　CYCLEPRO】,【バーテープ＆グリップ　CYCLEPRO】,4,,1,1,,,,0,,,,,,,,,,アイテム2カラム,Bootstrap,Bootstrap,自動選択,アイテムデフォルト,2,,,,0,0,,,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,パーツ\バーテープ＆グリップ:ブランド\CYCLEPRO,u:u,,::,::,::,1,
cpbt_045_blue,CYCLEPROCPBT-045BLUE,cpbt_045_blue,u, / （CYCLEPROCPBT-045BLUE）, / （CYCLEPROCPBT-045BLUE）,2173,2173,0,1,,,,,,CYCLEPROCPBT-045BLUE,,,,,,,,,,,,,,,,,,,http://image.rakuten.co.jp/brotures/cabinet/items/cyclepro/cpbt_045_blue.jpg,,,,,,,,,,1,1,0,1,0,0,,,,-1,0,,,,バーテープ＆グリップ,CYCLEPRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/cyclepro/cpbt_045_blue.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,"<div class=""row-fluid""><iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/cyclepro/cpbt_045_blue.html"" frameborder=""0"" id=""skin-product"" scrolling=""no""></iframe></div>",,cpbt_045_blue,0,,,,,,,,,,,,,,,,,,,,,563161,,【バーテープ＆グリップ　CYCLEPRO】,【バーテープ＆グリップ　CYCLEPRO】,4,,1,1,,,,0,,,,,,,,,,アイテム2カラム,Bootstrap,Bootstrap,自動選択,アイテムデフォルト,2,,,,0,0,,,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,パーツ\バーテープ＆グリップ:ブランド\CYCLEPRO,u:u,,::,::,::,1,
cpbt_045_red,CYCLEPROCPBT-045RED,cpbt_045_red,u, / （CYCLEPROCPBT-045RED）, / （CYCLEPROCPBT-045RED）,2173,2173,0,1,,,,,,CYCLEPROCPBT-045RED,,,,,,,,,,,,,,,,,,,http://image.rakuten.co.jp/brotures/cabinet/items/cyclepro/cpbt_045_red.jpg,,,,,,,,,,1,1,0,1,0,0,,,,-1,0,,,,バーテープ＆グリップ,CYCLEPRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/cyclepro/cpbt_045_red.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,"<div class=""row-fluid""><iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/cyclepro/cpbt_045_red.html"" frameborder=""0"" id=""skin-product"" scrolling=""no""></iframe></div>",,cpbt_045_red,0,,,,,,,,,,,,,,,,,,,,,563161,,【バーテープ＆グリップ　CYCLEPRO】,【バーテープ＆グリップ　CYCLEPRO】,4,,1,1,,,,0,,,,,,,,,,アイテム2カラム,Bootstrap,Bootstrap,自動選択,アイテムデフォルト,2,,,,0,0,,,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,パーツ\バーテープ＆グリップ:ブランド\CYCLEPRO,u:u,,::,::,::,1,
cpbt_045_wh,CYCLEPROCPBT-045WHITE,cpbt_045_wh,u, / （CYCLEPROCPBT-045WHITE）, / （CYCLEPROCPBT-045WHITE）,2173,2173,0,1,,,,,,CYCLEPROCPBT-045WHITE,,,,,,,,,,,,,,,,,,,http://image.rakuten.co.jp/brotures/cabinet/items/cyclepro/cpbt_045_wh.jpg,,,,,,,,,,1,1,0,1,0,0,,,,-1,0,,,,バーテープ＆グリップ,CYCLEPRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/cyclepro/cpbt_045_wh.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,"<div class=""row-fluid""><iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/cyclepro/cpbt_045_wh.html"" frameborder=""0"" id=""skin-product"" scrolling=""no""></iframe></div>",,cpbt_045_wh,0,,,,,,,,,,,,,,,,,,,,,563161,,【バーテープ＆グリップ　CYCLEPRO】,【バーテープ＆グリップ　CYCLEPRO】,4,,1,1,,,,0,,,,,,,,,,アイテム2カラム,Bootstrap,Bootstrap,自動選択,アイテムデフォルト,2,,,,0,0,,,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,パーツ\バーテープ＆グリップ:ブランド\CYCLEPRO,u:u,,::,::,::,1,
cpbt_049_bk,CYCLEPROCPBT-049BLACK,cpbt_049_bk,u, / （CYCLEPROCPBT-049BLACK）, / （CYCLEPROCPBT-049BLACK）,1512,1512,0,1,,,,,,CYCLEPROCPBT-049BLACK,,,,,,,,,,,,,,,,,,,http://image.rakuten.co.jp/brotures/cabinet/items/cyclepro/cpbt_049_bk.jpg,,,,,,,,,,1,1,0,1,0,0,,,,-1,0,,,,バーテープ＆グリップ,CYCLEPRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/cyclepro/cpbt_049_bk.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,"<div class=""row-fluid""><iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/cyclepro/cpbt_049_bk.html"" frameborder=""0"" id=""skin-product"" scrolling=""no""></iframe></div>",,cpbt_049_bk,0,,,,,,,,,,,,,,,,,,,,,563161,,【バーテープ＆グリップ　CYCLEPRO】,【バーテープ＆グリップ　CYCLEPRO】,4,,1,1,,,,0,,,,,,,,,,アイテム2カラム,Bootstrap,Bootstrap,自動選択,アイテムデフォルト,2,,,,0,0,,,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,パーツ\バーテープ＆グリップ:ブランド\CYCLEPRO,u:u,,::,::,::,1,
cpbt_049_wh,CYCLEPROCPBT-049WHITE,cpbt_049_wh,u, / （CYCLEPROCPBT-049WHITE）, / （CYCLEPROCPBT-049WHITE）,1512,1512,0,1,,,,,,CYCLEPROCPBT-049WHITE,,,,,,,,,,,,,,,,,,,http://image.rakuten.co.jp/brotures/cabinet/items/cyclepro/cpbt_049_wh.jpg,,,,,,,,,,1,1,0,1,0,0,,,,-1,0,,,,バーテープ＆グリップ,CYCLEPRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/cyclepro/cpbt_049_wh.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,"<div class=""row-fluid""><iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/cyclepro/cpbt_049_wh.html"" frameborder=""0"" id=""skin-product"" scrolling=""no""></iframe></div>",,cpbt_049_wh,0,,,,,,,,,,,,,,,,,,,,,563161,,【バーテープ＆グリップ　CYCLEPRO】,【バーテープ＆グリップ　CYCLEPRO】,4,,1,1,,,,0,,,,,,,,,,アイテム2カラム,Bootstrap,Bootstrap,自動選択,アイテムデフォルト,2,,,,0,0,,,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,パーツ\バーテープ＆グリップ:ブランド\CYCLEPRO,u:u,,::,::,::,1,
cpbt_055_bk,CYCLEPROCPBT-055BLACK,cpbt_055_bk,u, / （CYCLEPROCPBT-055BLACK）, / （CYCLEPROCPBT-055BLACK）,1811,1811,0,1,,,,,,CYCLEPROCPBT-055BLACK,,,,,,,,,,,,,,,,,,,http://image.rakuten.co.jp/brotures/cabinet/items/cyclepro/cpbt_055_bk.jpg,,,,,,,,,,1,1,0,1,0,0,,,,-1,0,,,,バーテープ＆グリップ,CYCLEPRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/cyclepro/cpbt_055_bk.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,"<div class=""row-fluid""><iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/cyclepro/cpbt_055_bk.html"" frameborder=""0"" id=""skin-product"" scrolling=""no""></iframe></div>",,cpbt_055_bk,0,,,,,,,,,,,,,,,,,,,,,563161,,【バーテープ＆グリップ　CYCLEPRO】,【バーテープ＆グリップ　CYCLEPRO】,4,,1,1,,,,0,,,,,,,,,,アイテム2カラム,Bootstrap,Bootstrap,自動選択,アイテムデフォルト,2,,,,0,0,,,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,パーツ\バーテープ＆グリップ:ブランド\CYCLEPRO,u:u,,::,::,::,1,
cpbt_055_red,CYCLEPROCPBT-055RED,cpbt_055_red,u, / （CYCLEPROCPBT-055RED）, / （CYCLEPROCPBT-055RED）,1811,1811,0,1,,,,,,CYCLEPROCPBT-055RED,,,,,,,,,,,,,,,,,,,http://image.rakuten.co.jp/brotures/cabinet/items/cyclepro/cpbt_055_red.jpg,,,,,,,,,,1,1,0,1,0,0,,,,-1,0,,,,バーテープ＆グリップ,CYCLEPRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/cyclepro/cpbt_055_red.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,"<div class=""row-fluid""><iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/cyclepro/cpbt_055_red.html"" frameborder=""0"" id=""skin-product"" scrolling=""no""></iframe></div>",,cpbt_055_red,0,,,,,,,,,,,,,,,,,,,,,563161,,【バーテープ＆グリップ　CYCLEPRO】,【バーテープ＆グリップ　CYCLEPRO】,4,,1,1,,,,0,,,,,,,,,,アイテム2カラム,Bootstrap,Bootstrap,自動選択,アイテムデフォルト,2,,,,0,0,,,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,パーツ\バーテープ＆グリップ:ブランド\CYCLEPRO,u:u,,::,::,::,1,
cpbt_055_wh,CYCLEPROCPBT-055WHITE,cpbt_055_wh,u, / （CYCLEPROCPBT-055WHITE）, / （CYCLEPROCPBT-055WHITE）,1811,1811,0,1,,,,,,CYCLEPROCPBT-055WHITE,,,,,,,,,,,,,,,,,,,http://image.rakuten.co.jp/brotures/cabinet/items/cyclepro/cpbt_055_wh.jpg,,,,,,,,,,1,1,0,1,0,0,,,,-1,0,,,,バーテープ＆グリップ,CYCLEPRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/cyclepro/cpbt_055_wh.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,"<div class=""row-fluid""><iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/cyclepro/cpbt_055_wh.html"" frameborder=""0"" id=""skin-product"" scrolling=""no""></iframe></div>",,cpbt_055_wh,0,,,,,,,,,,,,,,,,,,,,,563161,,【バーテープ＆グリップ　CYCLEPRO】,【バーテープ＆グリップ　CYCLEPRO】,4,,1,1,,,,0,,,,,,,,,,アイテム2カラム,Bootstrap,Bootstrap,自動選択,アイテムデフォルト,2,,,,0,0,,,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,パーツ\バーテープ＆グリップ:ブランド\CYCLEPRO,u:u,,::,::,::,1,
crank-allday-b,BROTURESALLDAYCrankBLACK,crank-allday-b,u, / （BROTURESALLDAYCrankBLACK）, / （BROTURESALLDAYCrankBLACK）,10500,10500,0,1,,,,,,BROTURESALLDAYCrankBLACK,,,,,,,,,,,,,,,,,,,http://image.rakuten.co.jp/brotures/cabinet/items/brotures/crank-allday-b.jpg,,,,,,,,,,1,1,0,1,0,0,,,,-1,0,,,,クランク,BROTURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/brotures/crank-allday-b.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,"<div class=""row-fluid""><iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/brotures/crank-allday-b.html"" frameborder=""0"" id=""skin-product"" scrolling=""no""></iframe></div>",,crank-allday-b,0,,,,,,,,,,,,,,,,,,,,,563147,,【クランク　BROTURES】,【クランク　BROTURES】,4,,1,1,,,,0,,,,,,,,,,アイテム2カラム,Bootstrap,Bootstrap,自動選択,アイテムデフォルト,2,,,,0,0,,,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,パーツ\クランク:ブランド\BROTURES,u:u,,::,::,::,1,
